INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage,FAMILY_STATUS_вдовец / вдова,FAMILY_STATUS_гражданский брак,FAMILY_STATUS_женат / замужем,FAMILY_STATUS_повторный брак,FAMILY_STATUS_разведен / разведена,FAMILY_STATUS_холост / не замужем,INCOME_BASE_TYPE_2НДФЛ,INCOME_BASE_TYPE_Поступление зарплаты на счет,INCOME_BASE_TYPE_Свободная форма с печатью работодателя,INCOME_BASE_TYPE_Форма банка (без печати работодателя),CREDIT_PURPOSE_Другое,CREDIT_PURPOSE_Лечение,CREDIT_PURPOSE_Обучение,CREDIT_PURPOSE_Отпуск,CREDIT_PURPOSE_Покупка автомобиля,CREDIT_PURPOSE_Покупка бытовой техники,CREDIT_PURPOSE_Покупка земли,CREDIT_PURPOSE_Покупка мебели,CREDIT_PURPOSE_Покупка недвижимости/ строительство,CREDIT_PURPOSE_Ремонт,EMPL_TYPE_вспомогательный персонал,EMPL_TYPE_менеджер высшего звена,EMPL_TYPE_менеджер по продажам,EMPL_TYPE_менеджер среднего звена,EMPL_TYPE_рабочий,EMPL_TYPE_специалист,EMPL_TYPE_торговый представитель,EMPL_PROPERTY_Другое,EMPL_PROPERTY_Информационные технологии,EMPL_PROPERTY_Сельское и лесное хозяйство,EMPL_PROPERTY_Торговля,EMPL_PROPERTY_Юридические услуги,EMPL_FORM_Государственное предприятие,EMPL_FORM_ЗАО,EMPL_FORM_Иная форма,EMPL_FORM_Индивидуальный предприниматель,EMPL_FORM_ОАО,EMPL_FORM_ООО,CLUSTER
1,0.8999999999999999,1,1.0,0.0,2.0,1,0.0,-0.5172413793103449,-0.5384615384615384,1.5,1.0,2.0,2.0,1.0,2.8955428894591626,1.0,2.0,0.0,0.0,0.28571428571428564,2.0,0.75,0.7469879518072289,1.4,1.5,0.0,-0.3076923076923077,0.09615384615384616,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
1,0.8499999999999999,1,0.0,0.0,0.0,1,0.0,-0.29310344827586204,-0.6153846153846154,4.0,2.5,1.0,1.0,0.0,4.739832643640024,0.0,2.0,2.0,2.0,-0.32653061228571434,0.0,0.5,-0.3253012048192771,0.4,0.0,0.0,-0.6153846153846154,0.4230769230769231,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1,-1.15,1,0.0,0.0,-2.0,1,0.0,5.517241379310345,1.3076923076923077,-0.5,-0.5,0.0,0.0,0.0,1.0965746458904522,1.0,1.0,0.0,0.0,-0.1904761905714287,-0.5,-0.25,-0.5421686746987951,-0.4,-0.5,2.0,-0.38461538461538464,-1.0576923076923077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
0,-0.09999999999999981,1,0.0,0.0,0.0,1,0.0,0.10344827586206896,1.2307692307692308,0.0,0.0,0.0,0.0,0.0,-0.20378820806915948,0.0,0.0,0.0,0.0,0.28571428571428564,-0.5,-0.5,-0.42168674698795183,-0.6,-0.5,0.0,0.23076923076923078,-0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7
0,-1.3499999999999996,1,1.0,0.0,0.0,0,0.0,0.20689655172413793,-0.15384615384615385,0.0,0.0,0.0,0.0,0.0,-0.20378820806915948,1.0,1.0,1.0,1.0,1.0,0.5,-0.5,-0.1686746987951807,-0.2,0.0,0.0,-0.6153846153846154,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7
1,-0.7499999999999998,0,1.0,0.0,2.0,1,0.0,-0.41379310344827586,-0.07692307692307693,0.5,0.5,2.0,2.0,0.0,3.598538620157187,0.0,0.0,0.0,0.0,0.28571428571428564,-0.5,-0.5,-0.08433734939759036,-0.6,-0.5,0.0,3.1538461538461537,0.15384615384615385,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
0,0.5000000000000001,0,1.0,0.0,2.0,1,0.0,-0.4482758620689655,-0.46153846153846156,0.5,0.0,1.0,0.0,0.0,-0.20378820806915948,1.0,1.0,0.0,0.0,0.28571428571428564,1.0,0.25,1.0120481927710843,0.6,0.5,1.0,-0.46153846153846156,0.40384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6
1,-1.0499999999999998,0,1.0,0.0,-2.0,0,0.0,-0.3620689655172414,0.07692307692307693,0.0,0.0,1.0,0.0,0.0,-0.20378820806915948,1.0,0.0,0.0,0.0,-1.142857142857143,-1.0,-0.5,-0.3855421686746988,-0.8,-0.5,0.0,5.538461538461538,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,-0.4999999999999999,1,0.0,0.0,0.0,1,0.0,0.4482758620689655,-0.38461538461538464,1.0,-0.5,0.0,0.0,0.0,1.6810811813664703,0.0,0.0,0.0,0.0,-0.5714285714285715,0.0,1.25,2.3132530120481927,1.0,-0.5,1.0,0.3076923076923077,0.6538461538461539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
0,-1.4999999999999998,0,0.0,0.0,0.0,0,0.0,0.46551724137931033,1.1538461538461537,0.0,-0.5,0.0,0.0,0.0,-0.20378820806915948,1.0,0.0,0.0,0.0,0.28571428571428564,0.0,-0.25,0.4578313253012048,-0.2,0.0,1.0,0.6923076923076923,-0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3
