INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
Поступление зарплаты на счет,Ремонт,1,0.59,женский,1,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,>250,0.0,9.0,27.0,Другое,ООО,холост / не замужем,4.0,3.0,2.0,2.0,1.0,0.226993865,1.0,2.0,0.0,0.0,0.5,6.0,6.0,126.0,12.0,4.0,0.0,5.0,72.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2НДФЛ,Ремонт,1,0.58,женский,0,0,высшее,вспомогательный персонал,>250,0.0,22.0,26.0,Информационные технологии,ООО,женат / замужем,9.0,6.0,1.0,1.0,0.0,0.3620689655,0.0,2.0,2.0,2.0,0.2857142857,2.0,5.0,37.0,7.0,1.0,0.0,1.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.18,женский,0,0,среднее-специальное,вспомогательный персонал,>250,0.0,359.0,51.0,Другое,Государственное предприятие,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0952380952,1.0,1.0,0.0,0.0,0.3333333333,1.0,2.0,19.0,3.0,0.0,2.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.39,женский,0,0,высшее,менеджер высшего звена,>250,0.0,45.0,50.0,Другое,ООО,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,29.0,2.0,0.0,0.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,0,0.14,женский,1,0,высшее,специалист,<50,0.0,51.0,32.0,Информационные технологии,ЗАО,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,3.0,1.0,50.0,4.0,1.0,0.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,1,0.26,мужской,1,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,15.0,33.0,Торговля,ООО,холост / не замужем,2.0,2.0,2.0,2.0,0.0,0.2784810127,0.0,0.0,0.0,0.0,0.5,1.0,1.0,57.0,2.0,0.0,0.0,50.0,75.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.51,мужской,1,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,13.0,28.0,Торговля,ЗАО,женат / замужем,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,4.0,4.0,148.0,8.0,2.0,1.0,3.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Ремонт,1,0.2,мужской,1,0,среднее-специальное,рабочий,<50,0.0,18.0,35.0,Торговля,ООО,женат / замужем,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.31,женский,0,0,высшее,специалист,>250,0.0,65.0,29.0,Другое,ЗАО,холост / не замужем,3.0,0.0,0.0,0.0,0.0,0.138047138,0.0,0.0,0.0,0.0,0.2,2.0,8.0,256.0,10.0,0.0,1.0,13.0,101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.11,мужской,0,0,высшее,специалист,<50,0.0,66.0,49.0,Торговля,ЗАО,холост / не замужем,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,2.0,102.0,4.0,1.0,1.0,18.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
